datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude
2024-08-17 00:00:00+00:00,10.84,12.54,12.87,12.34,4.29,540.73,12.9716,77.5946
2024-08-17 01:00:00+00:00,10.92,12.99,6.08,17.31,5.48,614.17,12.9716,77.5946
2024-08-17 02:00:00+00:00,12.99,15.98,1.05,22.62,7.99,814.44,12.9716,77.5946
2024-08-17 03:00:00+00:00,14.5,17.96,1.72,24.33,11.09,988.01,12.9716,77.5946
2024-08-17 04:00:00+00:00,11.93,14.5,5.14,27.08,13.59,821.11,12.9716,77.5946
2024-08-17 05:00:00+00:00,11.11,13.35,8.76,27.76,14.42,741.0,12.9716,77.5946
2024-08-17 06:00:00+00:00,11.69,13.87,14.66,27.42,15.5,714.3,12.9716,77.5946
2024-08-17 07:00:00+00:00,9.22,10.73,28.97,21.42,11.44,574.11,12.9716,77.5946
2024-08-17 08:00:00+00:00,7.6,8.67,38.27,17.31,9.06,500.68,12.9716,77.5946
2024-08-17 09:00:00+00:00,7.78,8.76,41.84,16.96,9.18,494.0,12.9716,77.5946
2024-08-17 10:00:00+00:00,11.29,13.23,16.09,41.47,11.21,854.49,12.9716,77.5946
2024-08-17 11:00:00+00:00,18.15,21.84,0.37,61.69,16.45,1642.23,12.9716,77.5946
2024-08-17 12:00:00+00:00,26.08,31.39,0.08,69.92,22.65,2590.18,12.9716,77.5946
2024-08-17 13:00:00+00:00,32.91,39.68,0.03,75.4,26.7,3177.64,12.9716,77.5946
2024-08-17 14:00:00+00:00,36.28,44.03,0.0,65.8,26.46,3070.83,12.9716,77.5946
2024-08-17 15:00:00+00:00,32.24,39.16,0.0,49.35,19.31,2349.85,12.9716,77.5946
2024-08-17 16:00:00+00:00,26.52,32.27,0.0,38.39,11.21,1655.58,12.9716,77.5946
2024-08-17 17:00:00+00:00,25.75,31.26,0.0,35.99,9.66,1428.6,12.9716,77.5946
2024-08-17 18:00:00+00:00,24.86,29.39,0.01,37.36,10.01,1295.09,12.9716,77.5946
2024-08-17 19:00:00+00:00,24.02,27.28,0.0,39.07,9.3,1188.28,12.9716,77.5946
2024-08-17 20:00:00+00:00,25.87,28.91,0.0,37.7,8.58,1188.28,12.9716,77.5946
2024-08-17 21:00:00+00:00,28.34,31.28,0.0,37.01,9.78,1161.58,12.9716,77.5946
2024-08-17 22:00:00+00:00,32.21,35.24,0.0,39.76,13.83,1174.93,12.9716,77.5946
2024-08-17 23:00:00+00:00,36.26,39.43,0.0,41.81,17.64,1228.33,12.9716,77.5946
2024-08-18 00:00:00+00:00,39.76,42.83,0.0,40.78,20.03,1295.09,12.9716,77.5946
2024-08-18 01:00:00+00:00,44.22,48.1,0.0,39.76,22.17,1508.71,12.9716,77.5946
2024-08-18 02:00:00+00:00,50.32,56.7,0.51,37.36,23.37,2002.72,12.9716,77.5946
2024-08-18 03:00:00+00:00,50.6,58.35,2.53,32.56,19.55,2376.56,12.9716,77.5946
2024-08-18 04:00:00+00:00,17.56,20.04,24.32,30.16,11.92,907.9,12.9716,77.5946
2024-08-18 05:00:00+00:00,13.3,15.2,46.49,22.28,11.44,707.63,12.9716,77.5946
2024-08-18 06:00:00+00:00,16.22,18.06,71.53,18.85,12.76,660.9,12.9716,77.5946
2024-08-18 07:00:00+00:00,15.69,17.07,83.68,13.88,10.01,554.08,12.9716,77.5946
2024-08-18 08:00:00+00:00,14.73,15.88,86.55,12.17,9.18,514.03,12.9716,77.5946
2024-08-18 09:00:00+00:00,16.61,17.78,94.41,12.85,10.01,527.38,12.9716,77.5946
2024-08-18 10:00:00+00:00,18.82,20.08,101.57,14.05,10.85,547.41,12.9716,77.5946
2024-08-18 11:00:00+00:00,20.55,21.96,104.43,17.65,11.56,594.14,12.9716,77.5946
2024-08-18 12:00:00+00:00,20.68,22.27,98.71,23.31,11.68,647.54,12.9716,77.5946
2024-08-18 13:00:00+00:00,21.59,23.95,65.8,39.76,11.8,834.47,12.9716,77.5946
2024-08-18 14:00:00+00:00,26.45,30.28,31.83,56.89,12.76,1121.52,12.9716,77.5946
2024-08-18 15:00:00+00:00,31.09,35.97,20.92,58.95,11.92,1255.04,12.9716,77.5946
2024-08-18 16:00:00+00:00,32.39,37.73,22.35,50.04,10.25,1188.28,12.9716,77.5946
2024-08-18 17:00:00+00:00,32.44,37.96,22.89,43.87,9.54,1121.52,12.9716,77.5946
2024-08-18 18:00:00+00:00,30.97,36.14,21.99,40.44,8.46,1068.12,12.9716,77.5946
2024-08-18 19:00:00+00:00,29.14,34.08,17.7,36.33,6.5,1001.36,12.9716,77.5946
2024-08-18 20:00:00+00:00,30.02,35.61,12.16,32.56,5.84,988.01,12.9716,77.5946
2024-08-18 21:00:00+00:00,31.15,37.15,10.64,27.76,5.84,947.95,12.9716,77.5946
2024-08-18 22:00:00+00:00,31.94,38.12,10.91,23.31,5.96,894.55,12.9716,77.5946
2024-08-18 23:00:00+00:00,31.68,36.81,13.59,19.54,5.78,807.76,12.9716,77.5946
2024-08-19 00:00:00+00:00,31.67,36.11,14.31,19.54,5.78,761.03,12.9716,77.5946
2024-08-19 01:00:00+00:00,32.1,36.86,8.14,27.42,6.74,881.2,12.9716,77.5946
2024-08-19 02:00:00+00:00,35.67,42.5,0.53,37.36,9.54,1321.79,12.9716,77.5946
2024-08-19 03:00:00+00:00,36.15,43.59,0.87,41.81,13.35,1682.28,12.9716,77.5946
2024-08-19 04:00:00+00:00,16.3,19.25,18.78,38.04,15.02,867.84,12.9716,77.5946
2024-08-19 05:00:00+00:00,12.56,14.75,36.12,31.87,15.02,727.65,12.9716,77.5946
2024-08-19 06:00:00+00:00,11.19,13.13,45.06,29.13,15.5,674.25,12.9716,77.5946
2024-08-19 07:00:00+00:00,9.09,10.68,50.07,23.65,12.4,587.46,12.9716,77.5946
2024-08-19 08:00:00+00:00,8.66,10.17,50.07,21.59,11.21,547.41,12.9716,77.5946
2024-08-19 09:00:00+00:00,9.27,10.92,46.49,22.62,11.56,560.76,12.9716,77.5946
2024-08-19 10:00:00+00:00,9.59,11.21,43.27,23.99,11.92,567.44,12.9716,77.5946
2024-08-19 11:00:00+00:00,10.43,12.15,37.55,28.45,12.28,620.84,12.9716,77.5946
2024-08-19 12:00:00+00:00,11.37,13.18,32.19,33.93,12.28,680.92,12.9716,77.5946
2024-08-19 13:00:00+00:00,15.47,18.24,10.82,54.84,14.42,974.66,12.9716,77.5946
2024-08-19 14:00:00+00:00,22.19,26.6,0.22,63.75,16.21,1308.44,12.9716,77.5946
2024-08-19 15:00:00+00:00,26.39,31.9,0.06,58.95,15.26,1401.9,12.9716,77.5946
2024-08-19 16:00:00+00:00,28.55,34.64,0.04,52.78,13.47,1361.85,12.9716,77.5946
2024-08-19 17:00:00+00:00,28.26,34.29,0.04,43.87,11.56,1255.04,12.9716,77.5946
2024-08-19 18:00:00+00:00,24.2,29.12,0.05,34.96,9.3,1081.47,12.9716,77.5946
2024-08-19 19:00:00+00:00,17.5,20.93,0.24,27.42,7.03,847.82,12.9716,77.5946
2024-08-19 20:00:00+00:00,12.99,15.58,1.54,23.99,6.26,680.92,12.9716,77.5946
2024-08-19 21:00:00+00:00,9.94,11.84,7.24,19.71,5.6,574.11,12.9716,77.5946
2024-08-19 22:00:00+00:00,8.02,9.63,12.87,14.39,4.53,507.35,12.9716,77.5946
2024-08-19 23:00:00+00:00,8.66,10.55,10.91,13.71,4.59,514.03,12.9716,77.5946
2024-08-20 00:00:00+00:00,10.75,13.14,5.19,17.14,5.72,587.46,12.9716,77.5946
2024-08-20 01:00:00+00:00,15.76,19.51,0.44,21.76,8.11,854.49,12.9716,77.5946
2024-08-20 02:00:00+00:00,22.52,28.56,0.56,24.33,10.85,1375.2,12.9716,77.5946
2024-08-20 03:00:00+00:00,21.31,27.02,4.07,27.42,11.92,1468.66,12.9716,77.5946
2024-08-20 04:00:00+00:00,12.04,14.82,13.59,28.79,11.68,807.76,12.9716,77.5946
2024-08-20 05:00:00+00:00,11.34,13.83,18.24,29.47,13.23,741.0,12.9716,77.5946
2024-08-20 06:00:00+00:00,12.97,15.53,19.85,34.27,17.4,781.06,12.9716,77.5946
2024-08-20 07:00:00+00:00,11.82,13.85,28.61,31.53,16.93,727.65,12.9716,77.5946
2024-08-20 08:00:00+00:00,12.12,13.85,44.35,27.76,16.45,680.92,12.9716,77.5946
2024-08-20 09:00:00+00:00,15.85,17.56,67.95,24.68,16.21,667.57,12.9716,77.5946
2024-08-20 10:00:00+00:00,21.13,22.8,92.98,20.91,14.66,634.19,12.9716,77.5946
2024-08-20 11:00:00+00:00,21.89,23.47,98.71,19.02,11.92,594.14,12.9716,77.5946
2024-08-20 12:00:00+00:00,17.5,18.95,86.55,18.68,8.94,547.41,12.9716,77.5946
2024-08-20 13:00:00+00:00,15.66,17.52,57.94,28.45,9.3,647.54,12.9716,77.5946
2024-08-20 14:00:00+00:00,17.72,20.67,29.33,40.78,11.09,834.47,12.9716,77.5946
2024-08-20 15:00:00+00:00,20.42,24.41,14.13,46.61,11.92,934.6,12.9716,77.5946
2024-08-20 16:00:00+00:00,20.18,24.7,9.12,42.84,11.32,907.9,12.9716,77.5946
2024-08-20 17:00:00+00:00,16.84,21.06,11.18,34.27,10.97,787.73,12.9716,77.5946
2024-08-20 18:00:00+00:00,17.06,20.32,25.03,26.73,11.68,667.57,12.9716,77.5946
2024-08-20 19:00:00+00:00,22.15,24.85,41.13,20.91,11.68,587.46,12.9716,77.5946
2024-08-20 20:00:00+00:00,29.44,32.23,45.42,17.31,11.09,547.41,12.9716,77.5946
2024-08-20 21:00:00+00:00,34.71,37.3,45.78,14.22,10.01,507.35,12.9716,77.5946
2024-08-20 22:00:00+00:00,39.26,41.74,43.27,12.85,9.18,487.33,12.9716,77.5946
