datetime,temp,humidity,wind_speed,precip,latitude,longitude
2025-08-25 18:30:00+00:00,21.0,82.85,7.6,0.0,12.9716,77.5946
2025-08-25 19:30:00+00:00,21.0,82.98,9.4,0.0,12.9716,77.5946
2025-08-25 20:30:00+00:00,21.0,88.2,7.6,0.0,12.9716,77.5946
2025-08-25 21:30:00+00:00,20.0,88.12,7.6,0.0,12.9716,77.5946
2025-08-25 22:30:00+00:00,20.0,88.27,7.8,0.0,12.9716,77.5946
2025-08-25 23:30:00+00:00,20.0,93.82,9.5,0.0,12.9716,77.5946
2025-08-26 00:30:00+00:00,20.0,93.82,13.0,0.0,12.9716,77.5946
2025-08-26 01:30:00+00:00,20.9,88.35,14.8,0.0,12.9716,77.5946
2025-08-26 02:30:00+00:00,21.9,88.28,14.9,0.0,12.9716,77.5946
2025-08-26 03:30:00+00:00,22.9,78.2,18.4,0.0,12.9716,77.5946
2025-08-26 04:30:00+00:00,25.0,73.55,18.5,0.0,12.9716,77.5946
2025-08-26 05:30:00+00:00,25.9,69.42,18.6,0.0,12.9716,77.5946
2025-08-26 06:30:00+00:00,25.0,73.44,18.4,0.0,12.9716,77.5946
2025-08-26 07:30:00+00:00,27.0,65.34,18.5,0.0,12.9716,77.5946
2025-08-26 08:30:00+00:00,27.0,61.6,20.5,0.0,12.9716,77.5946
2025-08-26 09:30:00+00:00,27.0,65.23,20.7,0.0,12.9716,77.5946
2025-08-26 10:30:00+00:00,26.0,69.31,13.1,0.0,12.9716,77.5946
2025-08-26 11:30:00+00:00,25.0,73.55,16.6,0.1,12.9716,77.5946
2025-08-26 12:30:00+00:00,24.9,69.79,14.6,0.5,12.9716,77.5946
2025-08-26 13:30:00+00:00,23.9,73.86,18.4,0.9,12.9716,77.5946
2025-08-26 14:30:00+00:00,22.9,78.58,18.3,1.5,12.9716,77.5946
2025-08-26 15:30:00+00:00,21.9,83.37,14.8,0.9,12.9716,77.5946
2025-08-26 16:30:00+00:00,21.9,83.24,22.2,0.4,12.9716,77.5946
2025-08-26 17:30:00+00:00,21.2,82.49,20.9,0.2,12.9716,77.5946
2025-08-26 18:30:00+00:00,20.6,86.13,19.4,0.0,12.9716,77.5946
2025-08-26 19:30:00+00:00,20.3,87.74,18.7,0.1,12.9716,77.5946
2025-08-26 20:30:00+00:00,20.1,89.39,18.0,0.0,12.9716,77.5946
2025-08-26 21:30:00+00:00,19.9,90.5,17.6,0.0,12.9716,77.5946
2025-08-26 22:30:00+00:00,19.8,91.64,16.6,0.0,12.9716,77.5946
2025-08-26 23:30:00+00:00,19.8,92.22,16.6,0.0,12.9716,77.5946
2025-08-27 00:30:00+00:00,19.6,93.37,16.9,0.0,12.9716,77.5946
2025-08-27 01:30:00+00:00,19.5,94.54,15.8,0.0,12.9716,77.5946
2025-08-27 02:30:00+00:00,19.9,92.8,18.0,0.0,12.9716,77.5946
2025-08-27 03:30:00+00:00,20.1,91.66,19.8,0.2,12.9716,77.5946
2025-08-27 04:30:00+00:00,20.7,88.32,21.6,0.1,12.9716,77.5946
2025-08-27 05:30:00+00:00,20.4,91.11,21.2,0.8,12.9716,77.5946
2025-08-27 06:30:00+00:00,21.6,85.16,19.4,0.3,12.9716,77.5946
2025-08-27 07:30:00+00:00,23.5,75.4,26.6,0.8,12.9716,77.5946
2025-08-27 08:30:00+00:00,23.7,73.11,26.6,0.6,12.9716,77.5946
2025-08-27 09:30:00+00:00,23.2,75.83,27.4,0.2,12.9716,77.5946
2025-08-27 10:30:00+00:00,23.5,75.4,27.7,0.2,12.9716,77.5946
2025-08-27 11:30:00+00:00,23.1,77.25,27.0,0.2,12.9716,77.5946
2025-08-27 12:30:00+00:00,22.0,82.07,24.5,0.1,12.9716,77.5946
2025-08-27 13:30:00+00:00,21.3,85.13,22.3,0.0,12.9716,77.5946
2025-08-27 14:30:00+00:00,20.5,87.76,22.3,0.0,12.9716,77.5946
2025-08-27 15:30:00+00:00,20.3,88.85,22.0,0.0,12.9716,77.5946
