datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude
2024-08-17 00:00:00+00:00,19.01,25.36,17.52,16.11,11.92,554.08,13.0827,80.2707
2024-08-17 01:00:00+00:00,23.68,30.78,9.39,21.42,14.31,667.57,13.0827,80.2707
2024-08-17 02:00:00+00:00,31.61,40.28,3.53,27.08,18.36,921.25,13.0827,80.2707
2024-08-17 03:00:00+00:00,32.21,41.07,7.24,28.1,21.22,1041.41,13.0827,80.2707
2024-08-17 04:00:00+00:00,13.63,17.06,27.89,26.05,39.58,507.35,13.0827,80.2707
2024-08-17 05:00:00+00:00,12.13,14.9,37.91,27.42,43.87,460.62,13.0827,80.2707
2024-08-17 06:00:00+00:00,12.27,15.07,46.49,27.08,45.3,447.27,13.0827,80.2707
2024-08-17 07:00:00+00:00,15.1,17.84,72.24,20.91,44.35,433.92,13.0827,80.2707
2024-08-17 08:00:00+00:00,16.24,19.08,88.69,16.79,34.33,403.88,13.0827,80.2707
2024-08-17 09:00:00+00:00,13.21,15.93,89.41,11.82,22.65,370.5,13.0827,80.2707
2024-08-17 10:00:00+00:00,10.95,13.63,78.68,11.48,19.07,367.16,13.0827,80.2707
2024-08-17 11:00:00+00:00,10.24,13.11,64.37,13.19,17.64,383.85,13.0827,80.2707
2024-08-17 12:00:00+00:00,9.17,12.16,50.78,15.94,15.74,403.88,13.0827,80.2707
2024-08-17 13:00:00+00:00,8.19,11.37,38.62,17.48,12.99,417.23,13.0827,80.2707
2024-08-17 14:00:00+00:00,8.94,12.67,32.19,17.82,12.76,447.27,13.0827,80.2707
2024-08-17 15:00:00+00:00,10.28,14.64,28.61,17.82,13.35,480.65,13.0827,80.2707
2024-08-17 16:00:00+00:00,13.03,18.44,22.35,18.51,12.04,554.08,13.0827,80.2707
2024-08-17 17:00:00+00:00,17.94,24.6,12.34,21.93,12.4,680.92,13.0827,80.2707
2024-08-17 18:00:00+00:00,20.17,27.18,4.96,24.68,12.87,747.68,13.0827,80.2707
2024-08-17 19:00:00+00:00,17.78,24.05,3.22,25.02,11.21,687.6,13.0827,80.2707
2024-08-17 20:00:00+00:00,16.25,21.42,10.28,22.28,10.01,580.79,13.0827,80.2707
2024-08-17 21:00:00+00:00,16.73,20.84,24.32,17.48,9.66,507.35,13.0827,80.2707
2024-08-17 22:00:00+00:00,16.77,20.04,33.26,14.05,10.61,460.62,13.0827,80.2707
2024-08-17 23:00:00+00:00,17.26,20.6,32.54,13.37,11.56,467.3,13.0827,80.2707
2024-08-18 00:00:00+00:00,19.41,23.18,30.04,14.22,12.87,494.0,13.0827,80.2707
2024-08-18 01:00:00+00:00,24.45,28.75,25.39,17.82,16.69,560.76,13.0827,80.2707
2024-08-18 02:00:00+00:00,33.11,38.58,18.95,25.36,25.75,707.63,13.0827,80.2707
2024-08-18 03:00:00+00:00,39.6,45.58,23.96,28.79,43.87,787.73,13.0827,80.2707
2024-08-18 04:00:00+00:00,31.15,34.86,51.5,28.45,61.04,614.17,13.0827,80.2707
2024-08-18 05:00:00+00:00,31.69,34.59,74.39,27.42,64.85,574.11,13.0827,80.2707
2024-08-18 06:00:00+00:00,43.19,46.15,105.86,26.73,69.62,574.11,13.0827,80.2707
2024-08-18 07:00:00+00:00,60.92,64.12,143.05,25.7,73.43,587.46,13.0827,80.2707
2024-08-18 08:00:00+00:00,79.39,83.47,171.66,25.7,68.66,627.52,13.0827,80.2707
2024-08-18 09:00:00+00:00,82.05,86.95,178.81,20.22,44.35,607.49,13.0827,80.2707
2024-08-18 10:00:00+00:00,76.73,81.85,167.37,16.45,28.37,574.11,13.0827,80.2707
2024-08-18 11:00:00+00:00,77.23,82.04,158.79,16.79,22.65,580.79,13.0827,80.2707
2024-08-18 12:00:00+00:00,78.81,82.89,151.63,19.88,20.03,600.81,13.0827,80.2707
2024-08-18 13:00:00+00:00,77.68,81.32,140.19,20.56,17.4,607.49,13.0827,80.2707
2024-08-18 14:00:00+00:00,71.1,74.83,124.45,19.19,16.45,594.14,13.0827,80.2707
2024-08-18 15:00:00+00:00,54.59,58.73,103.0,18.34,15.5,567.44,13.0827,80.2707
2024-08-18 16:00:00+00:00,38.52,43.58,80.82,16.62,12.64,540.73,13.0827,80.2707
2024-08-18 17:00:00+00:00,31.59,38.18,65.09,17.48,11.8,574.11,13.0827,80.2707
2024-08-18 18:00:00+00:00,27.49,34.76,55.07,19.19,11.44,587.46,13.0827,80.2707
2024-08-18 19:00:00+00:00,22.37,28.85,51.5,18.51,9.78,507.35,13.0827,80.2707
2024-08-18 20:00:00+00:00,19.9,25.46,51.5,16.11,10.37,447.27,13.0827,80.2707
2024-08-18 21:00:00+00:00,19.14,23.98,54.36,13.37,11.68,403.88,13.0827,80.2707
2024-08-18 22:00:00+00:00,21.08,24.83,62.94,11.48,13.11,380.52,13.0827,80.2707
2024-08-18 23:00:00+00:00,24.89,27.88,66.52,11.14,13.95,400.54,13.0827,80.2707
2024-08-19 00:00:00+00:00,28.38,31.2,62.23,12.34,15.97,440.6,13.0827,80.2707
2024-08-19 01:00:00+00:00,35.09,38.43,52.21,16.11,18.84,507.35,13.0827,80.2707
2024-08-19 02:00:00+00:00,49.58,54.47,36.12,25.7,24.56,647.54,13.0827,80.2707
2024-08-19 03:00:00+00:00,60.46,66.21,24.32,32.9,30.52,694.27,13.0827,80.2707
2024-08-19 04:00:00+00:00,35.24,38.16,52.21,22.96,28.85,494.0,13.0827,80.2707
