datetime,temp,humidity,wind_speed,precip,latitude,longitude
2025-08-24 18:30:00+00:00,29.0,83.89,13.0,0.1,13.0827,80.2707
2025-08-24 19:30:00+00:00,29.0,83.89,11.2,0.0,13.0827,80.2707
2025-08-24 20:30:00+00:00,29.0,83.89,13.0,0.1,13.0827,80.2707
2025-08-24 21:30:00+00:00,28.5,73.04,14.8,0.0,13.0827,80.2707
2025-08-24 22:30:00+00:00,28.3,72.57,13.7,0.1,13.0827,80.2707
2025-08-24 23:30:00+00:00,28.2,72.99,14.4,0.0,13.0827,80.2707
2025-08-25 00:30:00+00:00,28.3,71.26,13.3,0.1,13.0827,80.2707
2025-08-25 01:30:00+00:00,28.3,69.97,13.0,0.0,13.0827,80.2707
2025-08-25 02:30:00+00:00,29.1,62.45,16.2,0.2,13.0827,80.2707
2025-08-25 03:30:00+00:00,30.3,54.8,17.6,0.0,13.0827,80.2707
2025-08-25 04:30:00+00:00,31.3,51.12,15.5,0.0,13.0827,80.2707
2025-08-25 05:30:00+00:00,32.5,48.05,14.0,0.0,13.0827,80.2707
2025-08-25 06:30:00+00:00,33.3,45.37,10.1,0.0,13.0827,80.2707
2025-08-25 07:30:00+00:00,33.3,45.94,9.0,0.0,13.0827,80.2707
2025-08-25 08:30:00+00:00,32.8,47.54,11.5,0.0,13.0827,80.2707
2025-08-25 09:30:00+00:00,32.7,48.11,10.8,0.0,13.0827,80.2707
2025-08-25 10:30:00+00:00,32.6,48.38,10.4,0.0,13.0827,80.2707
2025-08-25 11:30:00+00:00,32.4,49.53,10.1,0.0,13.0827,80.2707
2025-08-25 12:30:00+00:00,31.6,53.12,15.1,0.0,13.0827,80.2707
2025-08-25 13:30:00+00:00,30.2,61.93,17.6,0.0,13.0827,80.2707
2025-08-25 14:30:00+00:00,29.6,66.49,15.8,0.0,13.0827,80.2707
2025-08-25 15:30:00+00:00,29.4,68.91,14.8,0.0,13.0827,80.2707
2025-08-25 16:30:00+00:00,29.2,70.14,14.0,0.0,13.0827,80.2707
2025-08-25 17:30:00+00:00,29.2,69.71,11.9,0.0,13.0827,80.2707
2025-08-25 18:30:00+00:00,29.0,70.53,13.3,0.0,13.0827,80.2707
2025-08-25 19:30:00+00:00,28.7,73.08,15.8,0.0,13.0827,80.2707
2025-08-25 20:30:00+00:00,28.6,73.95,17.3,0.0,13.0827,80.2707
2025-08-25 21:30:00+00:00,28.5,73.04,18.0,0.0,13.0827,80.2707
2025-08-25 22:30:00+00:00,28.3,72.13,17.3,0.0,13.0827,80.2707
2025-08-25 23:30:00+00:00,28.4,69.14,16.9,0.0,13.0827,80.2707
2025-08-26 00:30:00+00:00,28.4,63.46,16.9,0.0,13.0827,80.2707
2025-08-26 01:30:00+00:00,28.4,59.66,16.2,0.1,13.0827,80.2707
2025-08-26 02:30:00+00:00,29.3,56.28,18.0,0.0,13.0827,80.2707
2025-08-26 03:30:00+00:00,30.5,51.87,18.4,0.0,13.0827,80.2707
2025-08-26 04:30:00+00:00,31.8,47.57,15.8,0.0,13.0827,80.2707
2025-08-26 05:30:00+00:00,32.9,44.43,15.5,0.0,13.0827,80.2707
2025-08-26 06:30:00+00:00,33.9,41.74,15.8,0.0,13.0827,80.2707
2025-08-26 07:30:00+00:00,34.5,41.91,13.0,0.0,13.0827,80.2707
