datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude
2024-08-17 00:00:00+00:00,39.4,48.78,0.36,24.33,24.56,821.11,28.6139,77.209
2024-08-17 01:00:00+00:00,43.75,55.94,0.08,23.65,27.66,934.6,28.6139,77.209
2024-08-17 02:00:00+00:00,59.98,79.88,0.01,26.05,42.44,1308.44,28.6139,77.209
2024-08-17 03:00:00+00:00,79.59,106.04,0.02,30.85,70.57,1708.98,28.6139,77.209
2024-08-17 04:00:00+00:00,79.46,102.41,0.88,37.7,95.37,1602.17,28.6139,77.209
2024-08-17 05:00:00+00:00,79.72,100.57,0.61,42.84,105.86,1482.01,28.6139,77.209
2024-08-17 06:00:00+00:00,83.46,104.08,0.39,45.24,116.35,1455.31,28.6139,77.209
2024-08-17 07:00:00+00:00,85.83,105.3,0.78,47.98,115.39,1441.96,28.6139,77.209
2024-08-17 08:00:00+00:00,85.98,104.09,0.13,50.04,97.27,1455.31,28.6139,77.209
2024-08-17 09:00:00+00:00,82.03,98.28,0.06,50.72,76.29,1495.36,28.6139,77.209
2024-08-17 10:00:00+00:00,70.95,85.11,0.01,50.04,61.99,1508.71,28.6139,77.209
2024-08-17 11:00:00+00:00,69.61,84.56,0.01,49.35,58.17,1655.58,28.6139,77.209
2024-08-17 12:00:00+00:00,75.78,92.69,0.02,51.41,58.17,1869.2,28.6139,77.209
2024-08-17 13:00:00+00:00,103.93,130.6,0.0,52.78,59.6,2536.77,28.6139,77.209
2024-08-17 14:00:00+00:00,156.39,201.69,0.0,53.47,62.94,3524.78,28.6139,77.209
2024-08-17 15:00:00+00:00,201.12,261.79,0.0,54.84,64.85,4272.46,28.6139,77.209
2024-08-17 16:00:00+00:00,239.56,312.38,0.0,54.84,66.76,4699.71,28.6139,77.209
2024-08-17 17:00:00+00:00,251.21,327.8,0.0,54.15,63.9,4699.71,28.6139,77.209
2024-08-17 18:00:00+00:00,222.08,290.36,0.0,55.52,53.41,4112.24,28.6139,77.209
2024-08-17 19:00:00+00:00,161.01,210.27,0.0,54.15,37.67,3044.13,28.6139,77.209
2024-08-17 20:00:00+00:00,115.94,152.26,0.0,47.98,28.37,2269.74,28.6139,77.209
2024-08-17 21:00:00+00:00,86.9,115.51,0.0,40.1,23.84,1789.09,28.6139,77.209
2024-08-17 22:00:00+00:00,68.26,93.25,0.0,32.9,22.17,1455.31,28.6139,77.209
2024-08-17 23:00:00+00:00,56.51,79.58,0.01,27.76,22.41,1241.68,28.6139,77.209
2024-08-18 00:00:00+00:00,50.7,72.72,0.01,25.02,23.6,1148.22,28.6139,77.209
2024-08-18 01:00:00+00:00,54.49,79.0,0.08,24.33,27.89,1268.39,28.6139,77.209
2024-08-18 02:00:00+00:00,66.32,98.06,2.7,23.65,33.86,1628.88,28.6139,77.209
2024-08-18 03:00:00+00:00,69.91,104.48,11.18,29.13,35.76,1789.09,28.6139,77.209
2024-08-18 04:00:00+00:00,40.23,61.59,54.36,27.76,34.33,974.66,28.6139,77.209
2024-08-18 05:00:00+00:00,36.13,55.78,90.12,19.88,30.04,714.3,28.6139,77.209
2024-08-18 06:00:00+00:00,37.08,54.48,111.58,16.79,29.8,627.52,28.6139,77.209
2024-08-18 07:00:00+00:00,35.17,50.54,107.29,17.65,26.23,627.52,28.6139,77.209
2024-08-18 08:00:00+00:00,40.58,56.91,91.55,27.76,29.8,814.44,28.6139,77.209
2024-08-18 09:00:00+00:00,44.36,61.66,67.95,39.41,33.86,1001.36,28.6139,77.209
2024-08-18 10:00:00+00:00,42.34,59.29,43.27,46.61,35.29,1081.47,28.6139,77.209
2024-08-18 11:00:00+00:00,41.85,58.89,23.25,54.15,37.19,1201.63,28.6139,77.209
2024-08-18 12:00:00+00:00,47.03,65.72,6.08,63.75,42.44,1415.25,28.6139,77.209
2024-08-18 13:00:00+00:00,74.79,106.06,0.84,64.43,53.41,2136.23,28.6139,77.209
2024-08-18 14:00:00+00:00,128.59,184.56,0.01,61.01,63.9,3231.05,28.6139,77.209
2024-08-18 15:00:00+00:00,176.1,254.51,0.0,60.32,65.8,4058.84,28.6139,77.209
2024-08-18 16:00:00+00:00,209.86,300.4,0.0,60.32,63.9,4539.49,28.6139,77.209
2024-08-18 17:00:00+00:00,227.19,320.42,0.0,58.26,58.17,4699.71,28.6139,77.209
2024-08-18 18:00:00+00:00,213.3,297.99,0.0,55.52,47.21,4432.68,28.6139,77.209
2024-08-18 19:00:00+00:00,165.59,229.45,0.0,50.72,33.86,3631.59,28.6139,77.209
2024-08-18 20:00:00+00:00,152.75,207.44,0.0,44.55,34.81,3337.86,28.6139,77.209
2024-08-18 21:00:00+00:00,175.82,230.36,0.0,40.1,42.44,3578.19,28.6139,77.209
2024-08-18 22:00:00+00:00,215.04,272.92,0.0,38.73,54.84,4005.43,28.6139,77.209
2024-08-18 23:00:00+00:00,229.21,289.18,0.0,38.04,58.17,4005.43,28.6139,77.209
2024-08-19 00:00:00+00:00,214.19,273.96,0.0,35.99,54.84,3685.0,28.6139,77.209
2024-08-19 01:00:00+00:00,223.15,286.37,0.0,33.59,57.7,3845.21,28.6139,77.209
2024-08-19 02:00:00+00:00,286.19,364.72,0.25,36.67,76.29,5020.14,28.6139,77.209
2024-08-19 03:00:00+00:00,306.0,386.55,1.56,47.98,90.6,5500.79,28.6139,77.209
2024-08-19 04:00:00+00:00,124.95,162.93,13.41,58.95,81.06,2349.85,28.6139,77.209
2024-08-19 05:00:00+00:00,84.16,115.26,40.41,53.47,66.76,1602.17,28.6139,77.209
2024-08-19 06:00:00+00:00,71.73,97.57,83.68,39.76,55.31,1174.93,28.6139,77.209
2024-08-19 07:00:00+00:00,48.28,63.26,101.57,21.08,34.33,727.65,28.6139,77.209
2024-08-19 08:00:00+00:00,33.35,43.19,89.41,17.82,27.42,587.46,28.6139,77.209
2024-08-19 09:00:00+00:00,26.13,34.53,75.82,19.71,26.46,554.08,28.6139,77.209
2024-08-19 10:00:00+00:00,23.25,30.92,67.23,22.62,25.75,560.76,28.6139,77.209
2024-08-19 11:00:00+00:00,24.68,33.37,57.94,29.82,27.66,654.22,28.6139,77.209
2024-08-19 12:00:00+00:00,25.75,35.94,42.2,39.76,29.56,787.73,28.6139,77.209
2024-08-19 13:00:00+00:00,32.85,48.45,20.56,52.78,35.76,1041.41,28.6139,77.209
2024-08-19 14:00:00+00:00,47.39,72.81,3.58,58.26,42.44,1375.2,28.6139,77.209
2024-08-19 15:00:00+00:00,56.04,87.98,0.28,50.72,41.96,1522.06,28.6139,77.209
2024-08-19 16:00:00+00:00,59.81,91.43,0.04,45.93,40.53,1588.82,28.6139,77.209
2024-08-19 17:00:00+00:00,61.49,90.86,0.01,42.84,40.05,1602.17,28.6139,77.209
2024-08-19 18:00:00+00:00,54.19,78.45,0.0,38.39,36.72,1441.96,28.6139,77.209
2024-08-19 19:00:00+00:00,42.9,61.69,0.01,34.27,31.47,1201.63,28.6139,77.209
2024-08-19 20:00:00+00:00,50.75,71.04,0.0,32.22,36.24,1321.79,28.6139,77.209
2024-08-19 21:00:00+00:00,76.36,99.83,0.0,32.22,47.21,1735.69,28.6139,77.209
2024-08-19 22:00:00+00:00,111.89,137.19,0.0,34.62,57.7,2216.34,28.6139,77.209
2024-08-19 23:00:00+00:00,139.73,165.88,0.0,36.33,64.85,2536.77,28.6139,77.209
2024-08-20 00:00:00+00:00,162.22,188.86,0.0,37.36,75.34,2750.4,28.6139,77.209
2024-08-20 01:00:00+00:00,191.4,223.71,0.0,38.73,91.55,3150.94,28.6139,77.209
2024-08-20 02:00:00+00:00,237.79,284.43,0.02,41.81,111.58,4005.43,28.6139,77.209
2024-08-20 03:00:00+00:00,250.11,296.7,0.06,47.98,135.42,4219.06,28.6139,77.209
2024-08-20 04:00:00+00:00,191.01,223.61,0.11,52.78,150.68,3177.64,28.6139,77.209
2024-08-20 05:00:00+00:00,177.14,208.83,0.11,52.78,156.4,2937.32,28.6139,77.209
2024-08-20 06:00:00+00:00,170.07,200.43,0.15,53.47,160.22,2857.21,28.6139,77.209
2024-08-20 07:00:00+00:00,80.34,97.53,0.76,47.98,85.83,1548.77,28.6139,77.209
2024-08-20 08:00:00+00:00,44.96,56.82,0.46,46.61,56.74,1068.12,28.6139,77.209
2024-08-20 09:00:00+00:00,35.68,45.96,0.82,47.98,53.41,947.95,28.6139,77.209
2024-08-20 10:00:00+00:00,57.59,75.98,0.27,47.98,68.66,1535.42,28.6139,77.209
2024-08-20 11:00:00+00:00,106.42,139.66,0.05,47.3,84.88,2723.69,28.6139,77.209
2024-08-20 12:00:00+00:00,152.76,197.17,0.01,50.04,92.51,3791.81,28.6139,77.209
2024-08-20 13:00:00+00:00,192.95,244.78,0.0,53.47,100.14,4592.9,28.6139,77.209
2024-08-20 14:00:00+00:00,216.77,273.72,0.0,56.21,92.51,4859.92,28.6139,77.209
2024-08-20 15:00:00+00:00,208.39,264.02,0.0,58.26,73.43,4539.49,28.6139,77.209
2024-08-20 16:00:00+00:00,188.94,239.9,0.0,52.78,56.74,4058.84,28.6139,77.209
2024-08-20 17:00:00+00:00,187.1,237.93,0.0,46.61,54.36,3952.03,28.6139,77.209
2024-08-20 18:00:00+00:00,180.36,227.27,0.0,43.53,53.88,3845.21,28.6139,77.209
2024-08-20 19:00:00+00:00,161.08,201.78,0.0,40.1,50.07,3471.37,28.6139,77.209
2024-08-20 20:00:00+00:00,162.33,202.46,0.0,36.67,51.98,3284.45,28.6139,77.209
2024-08-20 21:00:00+00:00,180.79,221.27,0.0,35.64,64.85,3284.45,28.6139,77.209
2024-08-20 22:00:00+00:00,205.18,244.17,0.0,36.33,81.06,3391.27,28.6139,77.209
2024-08-20 23:00:00+00:00,212.25,246.02,0.0,34.96,78.2,3231.05,28.6139,77.209
2024-08-21 00:00:00+00:00,200.11,226.59,0.0,34.27,71.53,2830.51,28.6139,77.209
2024-08-21 01:00:00+00:00,179.05,201.73,0.0,36.33,71.53,2483.37,28.6139,77.209
2024-08-21 02:00:00+00:00,187.31,219.53,0.0,39.41,82.97,2830.51,28.6139,77.209
2024-08-21 03:00:00+00:00,205.08,244.77,0.2,42.84,102.04,3337.86,28.6139,77.209
2024-08-21 04:00:00+00:00,210.03,250.69,1.83,51.41,133.51,3337.86,28.6139,77.209
2024-08-21 05:00:00+00:00,215.54,259.02,2.59,63.06,167.85,3284.45,28.6139,77.209
2024-08-21 06:00:00+00:00,216.55,260.98,5.05,81.57,207.9,3124.24,28.6139,77.209
2024-08-21 07:00:00+00:00,127.82,151.39,15.56,82.94,148.77,1708.98,28.6139,77.209
2024-08-21 08:00:00+00:00,97.78,114.88,27.54,81.57,118.26,1321.79,28.6139,77.209
2024-08-21 09:00:00+00:00,106.18,123.28,41.84,89.11,115.39,1361.85,28.6139,77.209
2024-08-21 10:00:00+00:00,115.53,132.17,72.24,87.05,101.09,1388.55,28.6139,77.209
2024-08-21 11:00:00+00:00,112.33,127.82,98.71,76.09,82.02,1348.5,28.6139,77.209
2024-08-21 12:00:00+00:00,100.4,114.74,110.15,65.12,66.76,1295.09,28.6139,77.209
2024-08-21 13:00:00+00:00,125.27,150.82,60.08,98.71,70.57,2002.72,28.6139,77.209
2024-08-21 14:00:00+00:00,174.21,218.72,6.62,138.46,77.25,3017.43,28.6139,77.209
2024-08-21 15:00:00+00:00,181.23,234.32,0.18,127.49,65.8,3231.05,28.6139,77.209
2024-08-21 16:00:00+00:00,185.73,245.48,0.02,105.56,58.17,3391.27,28.6139,77.209
2024-08-21 17:00:00+00:00,236.64,316.01,0.0,94.59,72.48,4219.06,28.6139,77.209
2024-08-21 18:00:00+00:00,301.99,400.0,0.0,95.96,95.37,5180.36,28.6139,77.209
2024-08-21 19:00:00+00:00,349.97,449.73,0.0,102.82,108.72,5821.23,28.6139,77.209
2024-08-21 20:00:00+00:00,383.96,480.72,0.0,100.08,103.95,6141.66,28.6139,77.209
2024-08-21 21:00:00+00:00,372.45,459.62,0.0,87.74,80.11,5714.42,28.6139,77.209
2024-08-21 22:00:00+00:00,311.83,378.3,0.0,70.6,57.22,4646.3,28.6139,77.209
2024-08-21 23:00:00+00:00,235.72,282.51,0.0,55.52,50.54,3471.37,28.6139,77.209
2024-08-22 00:00:00+00:00,170.15,202.9,0.0,43.87,50.54,2536.77,28.6139,77.209
2024-08-22 01:00:00+00:00,137.85,168.25,0.01,39.41,60.56,2162.93,28.6139,77.209
2024-08-22 02:00:00+00:00,161.05,202.2,0.53,42.5,84.88,2696.99,28.6139,77.209
2024-08-22 03:00:00+00:00,203.08,252.74,2.86,54.15,116.35,3231.05,28.6139,77.209
2024-08-22 04:00:00+00:00,223.59,267.05,11.8,82.94,144.96,2964.02,28.6139,77.209
2024-08-22 05:00:00+00:00,260.18,304.97,38.98,120.64,152.59,3044.13,28.6139,77.209
2024-08-22 06:00:00+00:00,335.94,382.76,123.02,148.06,171.66,3177.64,28.6139,77.209
2024-08-22 07:00:00+00:00,242.28,271.6,231.74,71.97,101.09,1922.61,28.6139,77.209
2024-08-22 08:00:00+00:00,210.51,232.84,274.66,41.81,77.25,1482.01,28.6139,77.209
2024-08-22 09:00:00+00:00,208.91,230.08,277.52,42.16,78.2,1455.31,28.6139,77.209
2024-08-22 10:00:00+00:00,216.09,244.23,208.85,69.23,78.2,1949.31,28.6139,77.209
2024-08-22 11:00:00+00:00,230.61,270.7,117.3,113.79,76.29,2830.51,28.6139,77.209
2024-08-22 12:00:00+00:00,214.61,260.56,43.63,148.06,70.57,3417.97,28.6139,77.209
2024-08-22 13:00:00+00:00,192.93,244.98,5.01,148.06,66.76,3685.0,28.6139,77.209
