datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude
2024-08-17 00:00:00+00:00,26.79,31.15,2.39,13.19,2.32,460.62,12.9165,79.1325
2024-08-17 01:00:00+00:00,28.6,33.55,0.86,12.85,2.5,494.0,12.9165,79.1325
2024-08-17 02:00:00+00:00,31.88,39.33,1.3,11.31,3.1,580.79,12.9165,79.1325
2024-08-17 03:00:00+00:00,35.68,45.31,3.76,9.94,3.61,674.25,12.9165,79.1325
2024-08-17 04:00:00+00:00,22.59,25.68,37.19,9.51,3.61,500.68,12.9165,79.1325
2024-08-17 05:00:00+00:00,15.52,17.39,50.07,6.85,2.53,487.33,12.9165,79.1325
2024-08-17 06:00:00+00:00,13.31,14.88,55.07,6.0,2.21,473.98,12.9165,79.1325
2024-08-17 07:00:00+00:00,11.92,13.2,64.37,4.58,1.89,447.27,12.9165,79.1325
2024-08-17 08:00:00+00:00,10.71,11.68,74.39,3.17,1.46,410.56,12.9165,79.1325
2024-08-17 09:00:00+00:00,9.44,10.23,75.82,2.42,1.07,363.83,12.9165,79.1325
2024-08-17 10:00:00+00:00,8.19,8.94,72.24,2.55,0.95,327.11,12.9165,79.1325
2024-08-17 11:00:00+00:00,8.39,9.27,63.66,3.81,1.07,317.1,12.9165,79.1325
2024-08-17 12:00:00+00:00,10.88,11.96,55.07,6.08,1.34,320.43,12.9165,79.1325
2024-08-17 13:00:00+00:00,15.23,16.65,49.35,8.31,1.74,330.45,12.9165,79.1325
2024-08-17 14:00:00+00:00,17.1,18.93,45.06,8.91,1.97,347.14,12.9165,79.1325
2024-08-17 15:00:00+00:00,16.81,18.89,43.63,8.4,1.97,357.15,12.9165,79.1325
2024-08-17 16:00:00+00:00,16.78,19.51,40.77,8.4,1.91,383.85,12.9165,79.1325
2024-08-17 17:00:00+00:00,18.09,21.89,35.05,9.42,2.06,423.91,12.9165,79.1325
2024-08-17 18:00:00+00:00,19.18,23.36,30.76,10.28,2.12,453.95,12.9165,79.1325
2024-08-17 19:00:00+00:00,19.96,23.63,30.04,10.02,2.06,460.62,12.9165,79.1325
2024-08-17 20:00:00+00:00,20.37,23.42,30.76,8.4,1.85,453.95,12.9165,79.1325
2024-08-17 21:00:00+00:00,20.1,22.54,31.47,6.94,1.65,433.92,12.9165,79.1325
2024-08-17 22:00:00+00:00,19.41,21.63,28.97,6.25,1.49,423.91,12.9165,79.1325
2024-08-17 23:00:00+00:00,18.62,20.94,23.96,6.34,1.4,420.57,12.9165,79.1325
2024-08-18 00:00:00+00:00,18.0,20.54,19.31,6.94,1.46,423.91,12.9165,79.1325
2024-08-18 01:00:00+00:00,17.59,20.47,15.74,7.88,1.7,440.6,12.9165,79.1325
2024-08-18 02:00:00+00:00,17.49,21.03,14.84,8.31,2.09,473.98,12.9165,79.1325
2024-08-18 03:00:00+00:00,18.17,21.92,25.03,7.11,2.38,494.0,12.9165,79.1325
2024-08-18 04:00:00+00:00,13.96,15.77,57.94,3.98,1.77,447.27,12.9165,79.1325
2024-08-18 05:00:00+00:00,14.2,15.81,71.53,2.96,1.65,440.6,12.9165,79.1325
2024-08-18 06:00:00+00:00,15.26,16.92,76.53,2.91,1.79,440.6,12.9165,79.1325
2024-08-18 07:00:00+00:00,11.65,12.86,79.39,2.33,1.42,403.88,12.9165,79.1325
2024-08-18 08:00:00+00:00,10.54,11.47,85.12,1.71,1.18,373.84,12.9165,79.1325
2024-08-18 09:00:00+00:00,12.94,13.81,92.98,1.46,1.12,367.16,12.9165,79.1325
2024-08-18 10:00:00+00:00,16.35,17.36,100.14,1.8,1.27,370.5,12.9165,79.1325
2024-08-18 11:00:00+00:00,19.02,20.35,101.57,2.83,1.49,387.19,12.9165,79.1325
2024-08-18 12:00:00+00:00,18.89,20.5,97.27,4.28,1.46,400.54,12.9165,79.1325
2024-08-18 13:00:00+00:00,17.45,19.39,90.12,5.27,1.4,403.88,12.9165,79.1325
2024-08-18 14:00:00+00:00,17.63,20.07,85.83,5.48,1.51,407.22,12.9165,79.1325
2024-08-18 15:00:00+00:00,20.16,22.87,87.98,5.44,1.53,410.56,12.9165,79.1325
2024-08-18 16:00:00+00:00,25.86,29.39,83.68,6.43,1.79,433.92,12.9165,79.1325
2024-08-18 17:00:00+00:00,36.28,41.33,75.1,7.8,2.15,480.65,12.9165,79.1325
2024-08-18 18:00:00+00:00,49.51,55.49,70.81,8.4,2.38,514.03,12.9165,79.1325
2024-08-18 19:00:00+00:00,58.07,64.11,64.37,8.23,4.05,527.38,12.9165,79.1325
2024-08-18 20:00:00+00:00,63.42,69.11,59.37,7.54,7.27,540.73,12.9165,79.1325
2024-08-18 21:00:00+00:00,68.83,73.94,58.65,6.51,10.49,540.73,12.9165,79.1325
2024-08-18 22:00:00+00:00,69.56,74.25,55.07,5.91,11.92,540.73,12.9165,79.1325
2024-08-18 23:00:00+00:00,68.6,73.34,44.7,6.17,10.85,547.41,12.9165,79.1325
2024-08-19 00:00:00+00:00,69.39,74.01,36.12,7.03,9.54,567.44,12.9165,79.1325
2024-08-19 01:00:00+00:00,73.65,79.21,28.25,9.08,8.46,600.81,12.9165,79.1325
2024-08-19 02:00:00+00:00,77.27,85.33,19.13,13.02,7.63,680.92,12.9165,79.1325
2024-08-19 03:00:00+00:00,75.41,84.87,15.74,14.22,7.03,714.3,12.9165,79.1325
2024-08-19 04:00:00+00:00,36.6,40.11,61.51,6.08,4.47,460.62,12.9165,79.1325
2024-08-19 05:00:00+00:00,24.58,27.24,70.81,4.71,3.25,420.57,12.9165,79.1325
2024-08-19 06:00:00+00:00,19.83,22.26,75.1,4.16,2.77,407.22,12.9165,79.1325
2024-08-19 07:00:00+00:00,13.37,15.12,80.11,2.87,1.94,373.84,12.9165,79.1325
2024-08-19 08:00:00+00:00,9.2,10.44,79.39,1.86,1.28,340.46,12.9165,79.1325
2024-08-19 09:00:00+00:00,8.0,9.06,79.39,1.41,0.97,323.77,12.9165,79.1325
2024-08-19 10:00:00+00:00,8.01,9.06,80.82,1.56,0.98,320.43,12.9165,79.1325
2024-08-19 11:00:00+00:00,8.51,9.83,82.97,2.42,1.18,337.12,12.9165,79.1325
2024-08-19 12:00:00+00:00,7.97,9.58,80.11,3.86,1.22,353.81,12.9165,79.1325
2024-08-19 13:00:00+00:00,7.82,10.09,69.38,6.68,1.52,380.52,12.9165,79.1325
2024-08-19 14:00:00+00:00,9.55,13.12,55.79,9.77,2.5,433.92,12.9165,79.1325
2024-08-19 15:00:00+00:00,11.75,16.78,45.42,11.14,3.46,487.33,12.9165,79.1325
2024-08-19 16:00:00+00:00,13.87,20.17,38.27,11.65,3.87,527.38,12.9165,79.1325
2024-08-19 17:00:00+00:00,15.69,22.86,31.83,11.65,3.81,567.44,12.9165,79.1325
2024-08-19 18:00:00+00:00,16.59,23.59,28.25,11.31,3.37,580.79,12.9165,79.1325
2024-08-19 19:00:00+00:00,16.18,22.18,27.18,9.94,2.68,560.76,12.9165,79.1325
2024-08-19 20:00:00+00:00,15.94,21.31,27.54,8.48,2.35,534.06,12.9165,79.1325
2024-08-19 21:00:00+00:00,15.88,20.72,26.82,7.54,2.21,520.71,12.9165,79.1325
2024-08-19 22:00:00+00:00,15.77,20.08,24.68,6.94,2.03,507.35,12.9165,79.1325
2024-08-19 23:00:00+00:00,16.02,20.34,20.92,6.68,1.86,500.68,12.9165,79.1325
2024-08-20 00:00:00+00:00,16.77,21.21,16.45,6.77,1.77,507.35,12.9165,79.1325
2024-08-20 01:00:00+00:00,18.23,23.65,11.35,7.88,1.97,540.73,12.9165,79.1325
2024-08-20 02:00:00+00:00,20.25,27.65,10.55,8.05,2.56,600.81,12.9165,79.1325
2024-08-20 03:00:00+00:00,22.43,30.72,23.25,8.14,3.1,634.19,12.9165,79.1325
2024-08-20 04:00:00+00:00,20.02,23.41,69.38,6.68,3.13,554.08,12.9165,79.1325
