datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude
2024-08-17 00:00:00+00:00,22.37,25.3,3.31,24.33,13.47,620.84,17.385,78.4867
2024-08-17 01:00:00+00:00,37.52,41.05,0.46,30.85,12.99,947.95,17.385,78.4867
2024-08-17 02:00:00+00:00,43.55,48.12,1.12,31.53,18.36,1108.17,17.385,78.4867
2024-08-17 03:00:00+00:00,44.07,49.75,4.6,29.47,28.13,1148.22,17.385,78.4867
2024-08-17 04:00:00+00:00,28.19,32.64,16.63,28.1,24.32,867.84,17.385,78.4867
2024-08-17 05:00:00+00:00,23.18,26.78,27.89,26.05,23.37,761.03,17.385,78.4867
2024-08-17 06:00:00+00:00,24.04,27.21,34.33,26.39,25.27,747.68,17.385,78.4867
2024-08-17 07:00:00+00:00,25.65,28.15,55.07,21.08,22.89,694.27,17.385,78.4867
2024-08-17 08:00:00+00:00,26.35,28.39,73.67,17.48,18.6,627.52,17.385,78.4867
2024-08-17 09:00:00+00:00,25.03,26.91,80.82,15.08,16.21,580.79,17.385,78.4867
2024-08-17 10:00:00+00:00,28.28,30.82,65.8,24.33,21.22,700.95,17.385,78.4867
2024-08-17 11:00:00+00:00,35.89,39.51,41.84,40.78,29.09,947.95,17.385,78.4867
2024-08-17 12:00:00+00:00,44.22,48.91,18.06,58.26,34.81,1228.33,17.385,78.4867
2024-08-17 13:00:00+00:00,62.81,71.46,1.29,69.23,37.19,1815.8,17.385,78.4867
2024-08-17 14:00:00+00:00,99.45,115.54,0.0,66.49,41.01,2670.29,17.385,78.4867
2024-08-17 15:00:00+00:00,140.41,163.95,0.0,64.43,47.68,3391.27,17.385,78.4867
2024-08-17 16:00:00+00:00,174.26,202.22,0.0,63.75,57.22,3898.62,17.385,78.4867
2024-08-17 17:00:00+00:00,195.82,226.12,0.0,61.01,61.04,4165.65,17.385,78.4867
2024-08-17 18:00:00+00:00,192.74,223.03,0.0,57.58,55.79,4005.43,17.385,78.4867
2024-08-17 19:00:00+00:00,162.31,188.17,0.0,52.09,42.44,3417.97,17.385,78.4867
2024-08-17 20:00:00+00:00,151.71,172.91,0.0,47.3,34.33,3204.35,17.385,78.4867
2024-08-17 21:00:00+00:00,151.33,166.48,0.0,47.98,33.86,3177.64,17.385,78.4867
2024-08-17 22:00:00+00:00,131.24,139.06,0.0,53.47,39.1,2510.07,17.385,78.4867
2024-08-17 23:00:00+00:00,119.8,125.47,0.0,53.47,40.05,2082.82,17.385,78.4867
2024-08-18 00:00:00+00:00,123.52,129.08,0.0,54.15,41.01,2056.12,17.385,78.4867
2024-08-18 01:00:00+00:00,124.84,131.21,0.01,54.15,43.39,2056.12,17.385,78.4867
2024-08-18 02:00:00+00:00,124.35,132.29,0.7,54.15,50.54,2109.53,17.385,78.4867
2024-08-18 03:00:00+00:00,128.14,136.9,4.56,56.89,61.99,2189.64,17.385,78.4867
2024-08-18 04:00:00+00:00,94.7,100.75,10.64,58.26,54.84,1682.28,17.385,78.4867
2024-08-18 05:00:00+00:00,67.51,71.83,16.27,53.47,43.39,1348.5,17.385,78.4867
2024-08-18 06:00:00+00:00,49.61,52.89,31.47,40.44,35.29,1094.82,17.385,78.4867
2024-08-18 07:00:00+00:00,31.96,34.3,52.21,24.68,23.37,807.76,17.385,78.4867
2024-08-18 08:00:00+00:00,23.57,25.52,59.37,19.02,18.6,674.25,17.385,78.4867
2024-08-18 09:00:00+00:00,20.51,22.42,60.08,17.48,17.88,634.19,17.385,78.4867
2024-08-18 10:00:00+00:00,19.55,21.59,56.51,18.68,18.6,627.52,17.385,78.4867
2024-08-18 11:00:00+00:00,19.11,21.29,52.21,20.39,18.12,634.19,17.385,78.4867
2024-08-18 12:00:00+00:00,18.13,20.41,46.49,22.28,16.69,640.87,17.385,78.4867
2024-08-18 13:00:00+00:00,30.81,36.22,12.87,49.35,21.46,1108.17,17.385,78.4867
2024-08-18 14:00:00+00:00,60.66,71.65,0.02,58.95,28.85,1895.9,17.385,78.4867
2024-08-18 15:00:00+00:00,91.59,107.93,0.0,56.21,33.38,2483.37,17.385,78.4867
2024-08-18 16:00:00+00:00,117.53,136.9,0.0,53.47,36.24,2883.91,17.385,78.4867
2024-08-18 17:00:00+00:00,127.91,147.5,0.0,52.09,35.29,3017.43,17.385,78.4867
2024-08-18 18:00:00+00:00,107.07,122.93,0.0,52.09,28.61,2563.48,17.385,78.4867
2024-08-18 19:00:00+00:00,75.36,86.32,0.0,49.35,20.5,1815.8,17.385,78.4867
2024-08-18 20:00:00+00:00,68.48,78.63,0.0,42.84,19.31,1562.12,17.385,78.4867
2024-08-18 21:00:00+00:00,70.35,81.2,0.0,37.01,20.74,1522.06,17.385,78.4867
2024-08-18 22:00:00+00:00,67.08,78.28,0.02,31.53,21.22,1415.25,17.385,78.4867
2024-08-18 23:00:00+00:00,56.0,67.2,0.07,26.05,20.27,1188.28,17.385,78.4867
2024-08-19 00:00:00+00:00,46.26,57.81,0.14,22.28,19.55,1014.71,17.385,78.4867
2024-08-19 01:00:00+00:00,47.61,59.62,0.05,21.42,22.41,1108.17,17.385,78.4867
2024-08-19 02:00:00+00:00,56.56,70.67,0.69,21.08,27.18,1428.6,17.385,78.4867
2024-08-19 03:00:00+00:00,52.37,65.66,4.07,22.96,29.56,1441.96,17.385,78.4867
2024-08-19 04:00:00+00:00,35.41,43.35,8.23,33.93,30.99,1028.06,17.385,78.4867
2024-08-19 05:00:00+00:00,33.42,40.07,10.91,35.3,31.95,974.66,17.385,78.4867
2024-08-19 06:00:00+00:00,29.98,35.35,14.31,34.27,29.8,907.9,17.385,78.4867
2024-08-19 07:00:00+00:00,26.64,31.6,19.13,32.56,27.89,834.47,17.385,78.4867
2024-08-19 08:00:00+00:00,32.05,37.94,16.45,37.01,31.95,947.95,17.385,78.4867
2024-08-19 09:00:00+00:00,41.43,48.48,15.2,42.84,38.15,1134.87,17.385,78.4867
2024-08-19 10:00:00+00:00,47.44,55.25,29.68,41.47,37.19,1174.93,17.385,78.4867
2024-08-19 11:00:00+00:00,51.89,60.05,32.19,51.41,38.62,1201.63,17.385,78.4867
