datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude
2024-08-17 00:00:00+00:00,22.14,26.79,14.13,14.91,6.08,330.45,17.6868,83.2185
2024-08-17 01:00:00+00:00,20.37,24.56,14.66,13.71,5.3,337.12,17.6868,83.2185
2024-08-17 02:00:00+00:00,17.58,21.63,16.99,10.71,4.41,337.12,17.6868,83.2185
2024-08-17 03:00:00+00:00,14.5,18.28,21.46,7.97,3.64,333.79,17.6868,83.2185
2024-08-17 04:00:00+00:00,10.43,13.22,27.54,5.83,2.83,307.08,17.6868,83.2185
2024-08-17 05:00:00+00:00,8.19,10.44,31.83,5.1,2.5,293.73,17.6868,83.2185
2024-08-17 06:00:00+00:00,7.55,9.58,38.98,4.46,2.41,283.72,17.6868,83.2185
2024-08-17 07:00:00+00:00,9.53,11.71,53.64,3.56,2.68,280.38,17.6868,83.2185
2024-08-17 08:00:00+00:00,13.58,16.04,75.82,3.0,3.28,277.04,17.6868,83.2185
2024-08-17 09:00:00+00:00,14.16,16.62,86.55,2.46,3.22,263.69,17.6868,83.2185
2024-08-17 10:00:00+00:00,10.11,12.31,75.82,2.03,2.47,247.0,17.6868,83.2185
2024-08-17 11:00:00+00:00,6.39,8.38,57.22,2.01,2.03,236.99,17.6868,83.2185
2024-08-17 12:00:00+00:00,4.65,6.63,41.84,2.06,1.85,233.65,17.6868,83.2185
2024-08-17 13:00:00+00:00,4.08,6.35,33.62,2.06,1.85,233.65,17.6868,83.2185
2024-08-17 14:00:00+00:00,3.98,6.66,30.4,1.78,1.67,230.31,17.6868,83.2185
2024-08-17 15:00:00+00:00,4.31,7.27,31.47,1.44,1.37,223.64,17.6868,83.2185
2024-08-17 16:00:00+00:00,4.64,7.11,35.76,1.23,1.25,226.97,17.6868,83.2185
2024-08-17 17:00:00+00:00,4.88,7.12,39.7,1.19,1.19,226.97,17.6868,83.2185
2024-08-17 18:00:00+00:00,5.2,7.4,42.56,1.11,1.03,226.97,17.6868,83.2185
2024-08-17 19:00:00+00:00,5.56,7.6,43.27,1.34,1.22,233.65,17.6868,83.2185
2024-08-17 20:00:00+00:00,6.02,7.82,42.2,1.65,1.53,243.66,17.6868,83.2185
2024-08-17 21:00:00+00:00,6.56,8.37,40.77,2.03,1.83,257.02,17.6868,83.2185
2024-08-17 22:00:00+00:00,7.32,9.4,37.91,2.78,2.15,267.03,17.6868,83.2185
