datetime,temp,humidity,wind_speed,precip
2024-08-17 00:00:00,28.2,86.33,7.6,2.7
2024-08-17 01:00:00,28.0,87.86,6.1,0.2
2024-08-17 02:00:00,27.5,89.93,5.4,0.2
2024-08-17 03:00:00,27.5,89.93,3.2,0.4
2024-08-17 04:00:00,27.4,89.93,6.5,0.0
2024-08-17 05:00:00,27.1,91.52,3.6,0.0
2024-08-17 06:00:00,27.4,88.34,3.6,0.0
2024-08-17 07:00:00,27.4,87.81,2.9,0.0
2024-08-17 08:00:00,28.1,83.78,1.8,0.0
2024-08-17 09:00:00,28.8,80.45,4.7,0.0
2024-08-17 10:00:00,29.0,79.05,4.3,0.1
2024-08-17 11:00:00,32.9,67.95,3.6,0.1
2024-08-17 12:00:00,32.4,64.7,2.2,0.1
2024-08-17 13:00:00,32.7,63.23,4.3,0.0
2024-08-17 14:00:00,34.2,63.93,7.6,0.1
2024-08-17 15:00:00,33.8,59.44,5.8,0.0
2024-08-17 16:00:00,33.4,63.38,10.4,0.0
2024-08-17 17:00:00,33.0,70.02,5.4,0.3
2024-08-17 18:00:00,32.0,69.4,7.2,0.5
2024-08-17 19:00:00,30.8,76.99,5.8,0.5
2024-08-17 20:00:00,29.8,81.54,6.5,0.8
2024-08-17 21:00:00,28.7,86.38,7.6,0.2
2024-08-17 22:00:00,28.4,86.86,8.6,0.6
2024-08-17 23:00:00,27.7,88.36,7.2,1.1
2024-08-18 00:00:00,27.5,88.87,5.4,1.0
2024-08-18 01:00:00,27.4,88.86,4.3,0.0
2024-08-18 02:00:00,26.9,89.89,2.9,0.0
2024-08-18 03:00:00,26.8,90.42,2.5,0.0
2024-08-18 04:00:00,27.5,88.87,1.1,0.0
2024-08-18 05:00:00,27.3,89.92,1.1,0.0
2024-08-18 06:00:00,27.9,88.38,2.9,0.0
2024-08-18 07:00:00,27.8,88.9,2.9,0.0
2024-08-18 08:00:00,28.1,82.38,1.8,0.0
2024-08-18 09:00:00,29.3,82.45,4.0,0.0
2024-08-18 10:00:00,29.3,81.48,4.7,0.1
2024-08-18 11:00:00,30.5,74.26,3.6,0.0
2024-08-18 12:00:00,32.7,65.92,0.7,0.0
2024-08-18 13:00:00,33.6,62.3,0.7,0.0
2024-08-18 14:00:00,34.7,61.08,5.4,0.0
2024-08-18 15:00:00,34.0,62.76,2.2,0.0
2024-08-18 16:00:00,32.6,64.74,7.6,0.1
2024-08-18 17:00:00,32.1,62.21,1.1,0.0
2024-08-18 18:00:00,31.0,72.17,7.6,0.1
2024-08-18 19:00:00,31.2,69.67,6.8,0.0
2024-08-18 20:00:00,30.0,75.97,7.6,0.0
2024-08-18 21:00:00,29.5,78.65,7.9,0.0
2024-08-18 22:00:00,29.2,80.98,7.2,0.0
2024-08-18 23:00:00,28.8,82.39,7.6,0.0
2024-08-19 00:00:00,27.7,86.29,7.6,0.0
2024-08-19 01:00:00,27.7,86.29,7.6,0.0
2024-08-19 02:00:00,27.1,89.37,6.1,0.0
2024-08-19 03:00:00,27.0,89.9,5.0,0.0
2024-08-19 04:00:00,27.0,89.9,2.9,0.0
2024-08-19 05:00:00,26.8,91.51,3.2,0.0
2024-08-19 06:00:00,27.5,88.87,6.5,0.0
2024-08-19 07:00:00,27.7,87.84,7.2,0.0
2024-08-19 08:00:00,29.0,86.41,1.8,0.0
2024-08-19 09:00:00,29.0,81.93,11.2,0.0
