datetime,pm2_5,pm10,no2,o3,so2,co,temp,humidity,wind_speed,precip,aqi,population,pop_density_per_km2,pct_elderly,pct_children,respiratory_illness_rate_per_100k,cluster
2024-08-17,205.56416666666667,228.55041666666668,76.38583333333334,57.95916666666667,82.84958333333334,2426.6245833333332,,,,,205.56416666666667,14800000.0,24800.0,9.1,20.5,910.0,
2024-08-18,74.41416666666667,87.55666666666667,42.555,8.59875,41.1175,1305.3812500000001,,,,,74.41416666666667,14800000.0,24800.0,9.1,20.5,910.0,
2024-08-19,90.79958333333333,106.38499999999999,50.06791666666666,2.1633333333333336,64.33208333333333,1599.3920833333334,,,,,90.79958333333333,14800000.0,24800.0,9.1,20.5,910.0,
2024-08-20,88.40083333333332,101.55375,52.60874999999999,6.704166666666667,70.49291666666666,1551.5479166666667,,,,,88.40083333333332,14800000.0,24800.0,9.1,20.5,910.0,
2024-08-21,62.30083333333334,74.32458333333334,46.95416666666667,1.9320833333333332,63.61833333333333,1184.9408333333333,,,,,62.30083333333334,14800000.0,24800.0,9.1,20.5,910.0,
2024-08-22,66.2,77.87041666666666,46.096666666666664,0.6887500000000001,67.75083333333333,1269.5004166666668,,,,,66.2,14800000.0,24800.0,9.1,20.5,910.0,
2024-08-23,81.75833333333334,94.8,47.42416666666667,1.25125,67.235,1445.2920833333335,,,,,81.75833333333334,14800000.0,24800.0,9.1,20.5,910.0,
2024-08-24,44.27,49.19,25.36,3.0,28.85,894.55,,,,,44.27,14800000.0,24800.0,9.1,20.5,910.0,
2025-08-25,,,,,,,27.0,94.27,0.9,0.05000000000000001,,14800000.0,24800.0,9.1,20.5,910.0,
2025-08-26,,,,,,,29.179166666666664,79.74625,11.029166666666667,0.05833333333333334,,14800000.0,24800.0,9.1,20.5,910.0,
2025-08-27,,,,,,,29.295833333333334,75.54708333333333,15.479166666666666,0.0625,,14800000.0,24800.0,9.1,20.5,910.0,
2025-08-28,,,,,,,29.15416666666667,77.37666666666667,14.775,0.225,,14800000.0,24800.0,9.1,20.5,910.0,
2025-08-29,,,,,,,29.108333333333334,75.38041666666666,15.929166666666667,0.125,,14800000.0,24800.0,9.1,20.5,910.0,
2025-08-30,,,,,,,29.079166666666666,76.85708333333334,15.7125,0.17916666666666667,,14800000.0,24800.0,9.1,20.5,910.0,
2025-08-31,,,,,,,29.537499999999998,74.84166666666667,13.120833333333332,0.2708333333333333,,14800000.0,24800.0,9.1,20.5,910.0,
2025-09-01,,,,,,,30.0625,73.2225,12.575000000000001,0.2791666666666667,,14800000.0,24800.0,9.1,20.5,910.0,
2025-09-02,,,,,,,30.65416666666667,70.9025,11.366666666666667,0.004166666666666667,,14800000.0,24800.0,9.1,20.5,910.0,
2025-09-03,,,,,,,30.741666666666664,68.27291666666666,10.8125,0.0,,14800000.0,24800.0,9.1,20.5,910.0,
2025-09-04,,,,,,,29.329166666666666,75.81541666666666,13.641666666666666,0.125,,14800000.0,24800.0,9.1,20.5,910.0,
2025-09-05,,,,,,,29.183333333333334,78.74333333333333,16.370833333333334,0.3208333333333333,,14800000.0,24800.0,9.1,20.5,910.0,
2025-09-06,,,,,,,29.537499999999998,75.92583333333333,13.991666666666667,0.125,,14800000.0,24800.0,9.1,20.5,910.0,
2025-09-07,,,,,,,29.041666666666668,76.67833333333333,18.212500000000002,0.22083333333333333,,14800000.0,24800.0,9.1,20.5,910.0,
2025-09-08,,,,,,,28.96666666666667,78.62583333333333,15.083333333333334,0.22916666666666666,,14800000.0,24800.0,9.1,20.5,910.0,
2025-09-09,,,,,,,31.033333333333335,68.15666666666667,6.677777777777778,0.2888888888888889,,14800000.0,24800.0,9.1,20.5,910.0,
